energy 	det 	
525.23937 	30626 	
525.38403 	30645 	
525.48469 	30656 	
525.58427 	30670 	
525.68096 	30678 	
525.77548 	30693 	
525.87205 	30747 	
525.97591 	30704 	
526.07164 	30767 	
526.17639 	30750 	
526.27331 	30690 	
526.37389 	30751 	
526.4636 	30766 	
526.56103 	30776 	
526.65667 	30765 	
526.75649 	30784 	
526.85696 	30775 	
526.95038 	30828 	
527.04393 	30781 	
527.13154 	30809 	
527.22607 	30823 	
527.32702 	30895 	
527.42933 	30895 	
527.52093 	30937 	
527.61854 	30989 	
527.70908 	30985 	
527.80737 	31008 	
527.90539 	31055 	
528.00721 	31086 	
528.10846 	31136 	
528.20772 	31168 	
528.31474 	31242 	
528.41224 	31223 	
528.5114 	31333 	
528.6161 	31415 	
528.72421 	31406 	
528.82451 	31445 	
528.92383 	31477 	
529.01778 	31535 	
529.11308 	31551 	
529.21874 	31570 	
529.31494 	31597 	
529.41853 	31578 	
529.52226 	31587 	
529.61775 	31579 	
529.71982 	31697 	
529.80566 	31804 	
529.90524 	31855 	
530.00312 	31883 	
530.10472 	31953 	
530.19612 	32059 	
530.28929 	32252 	
530.37972 	32424 	
530.48167 	32649 	
530.58582 	32962 	
530.68559 	33305 	
530.78181 	33698 	
530.87673 	33990 	
530.97034 	34222 	
531.06008 	34235 	
531.15602 	34157 	
531.25086 	33854 	
531.35161 	33386 	
531.44734 	32883 	
531.54167 	32365 	
531.63171 	31868 	
531.7329 	31476 	
531.83105 	31145 	
531.93397 	30910 	
532.03033 	30790 	
532.12662 	30809 	
532.2248 	30826 	
532.32251 	30871 	
532.42169 	30999 	
532.5297 	31079 	
532.63021 	31337 	
532.73799 	31476 	
532.83557 	31638 	
532.93495 	31798 	
533.03322 	32072 	
533.13298 	32222 	
533.24056 	32464 	
533.33334 	32669 	
533.43104 	32882 	
533.51912 	33121 	
533.61553 	33349 	
533.70845 	33617 	
533.80753 	33782 	
533.89937 	33931 	
533.99904 	34139 	
534.09032 	34272 	
534.18496 	34319 	
534.28235 	34400 	
534.38174 	34349 	
534.49013 	34351 	
534.59617 	34336 	
534.70026 	34266 	
534.79814 	34140 	
534.90211 	34068 	
535.00842 	33978 	
535.11226 	33953 	
535.22157 	34028 	
535.32455 	34049 	
535.42841 	34090 	
535.51767 	34150 	
535.61658 	34306 	
535.72662 	34460 	
535.83147 	34623 	
535.93333 	34837 	
536.03543 	35002 	
536.13872 	35150 	
536.23818 	35419 	
536.3317 	35515 	
536.43668 	35577 	
536.54275 	35666 	
536.64876 	35586 	
536.74505 	35516 	
536.83926 	35451 	
536.93572 	35420 	
537.03831 	35287 	
537.13926 	35072 	
537.24329 	34846 	
537.33905 	34603 	
537.42832 	34475 	
537.51962 	34280 	
537.616 	34044 	
537.71116 	33778 	
537.81457 	33539 	
537.91528 	33312 	
538.01392 	33165 	
538.11471 	32964 	
538.20951 	32796 	
538.31428 	32724 	
538.4157 	32630 	
538.52224 	32453 	
538.62332 	32348 	
538.72475 	32301 	
538.82157 	32293 	
538.92425 	32222 	
539.03289 	32208 	
539.14338 	32251 	
539.24321 	32252 	
539.34668 	32228 	
539.44054 	32293 	
539.53899 	32281 	
539.64343 	32346 	
539.74833 	32443 	
539.85773 	32490 	
539.96048 	32608 	
540.05986 	32736 	
540.15525 	32879 	
540.25343 	33055 	
540.34866 	33236 	
540.45299 	33467 	
540.55362 	33642 	
540.65141 	33872 	
540.74423 	34014 	
540.84551 	34160 	
540.95055 	34323 	
541.0582 	34450 	
541.16599 	34618 	
541.27373 	34581 	
541.38343 	34679 	
541.48761 	34724 	
541.58713 	34736 	
541.69845 	34729 	
541.81218 	34763 	
541.9252 	34825 	
542.02734 	34827 	
542.13124 	34878 	
542.23732 	34847 	
542.34494 	34905 	
542.45132 	34935 	
542.55624 	35088 	
542.65958 	35159 	
542.76533 	35212 	
542.86446 	35292 	
542.96761 	35408 	
543.07272 	35464 	
543.17971 	35578 	
543.2877 	35687 	
543.39155 	35754 	
543.49467 	35791 	
543.59331 	35867 	
543.69846 	35886 	
543.80763 	35893 	
543.90552 	35857 	
544.01284 	35792 	
544.1081 	35702 	
544.20697 	35633 	
544.30015 	35532 	
544.40189 	35480 	
544.50518 	35386 	
544.6137 	35294 	
544.71578 	35246 	
544.81368 	35120 	
544.91366 	35013 	
545.0087 	34980 	
545.11938 	34891 	
545.22576 	34767 	
545.3337 	34619 	
545.43681 	34621 	
545.54429 	34540 	
545.64487 	34504 	
545.75015 	34525 	
545.86286 	34451 	
545.95563 	34415 	
546.05766 	34397 	
546.16278 	34449 	
546.25815 	34496 	
546.35768 	34475 	
546.46172 	34506 	
546.56884 	34462 	
546.67209 	34497 	
546.77973 	34553 	
546.87956 	34546 	
546.98227 	34506 	
547.08654 	34494 	
547.19162 	34470 	
547.29619 	34509 	
547.39731 	34513 	
547.49474 	34442 	
547.59298 	34389 	
547.69191 	34345 	
547.79711 	34296 	
547.90235 	34199 	
548.01781 	34174 	
548.11985 	34128 	
548.23266 	34129 	
548.33653 	34021 	
548.44603 	33895 	
548.55262 	33889 	
548.66824 	33886 	
548.77557 	33771 	
548.8847 	33712 	
548.98574 	33635 	
549.09243 	33573 	
549.20201 	33516 	
549.31109 	33449 	
549.42351 	33352 	
549.53224 	33323 	
549.63616 	33269 	
549.74012 	33212 	
549.84313 	33154 	
549.95059 	33041 	
550.0582 	33017 	
550.16905 	32911 	
550.26747 	32872 	
550.35092 	32826 	
550.42368 	32756 	
550.49094 	32752 	
