field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-99 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-98 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-97 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-96 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-95 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-94 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-93 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-92 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-91 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-90 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-89 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-88 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-87 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-86 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-85 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-84 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-83 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-82 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-81 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-80 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-79 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-78 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-77 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
-76 , 1.2540381e-05 , 1.8076032e-05, 2.3763811e-09 , 1.2538004e-05 , 1.8045554e-05,, 3.0477978e-08 , 5.7078468e-07 , 1.5593599e-05 , 1.5022814e-05 
